loss,val_loss
542532.5,10089.92578125
6448.8115234375,3371.34130859375
1507.0350341796875,1683.557861328125
1177.0404052734375,1321.1585693359375
1058.746826171875,1098.345703125
987.7564086914062,1006.7734985351562
910.9384765625,910.6055908203125
815.28173828125,781.7589111328125
716.4111938476562,730.0647583007812
632.5672607421875,644.7053833007812
560.0819091796875,507.611572265625
512.2351684570312,485.1773681640625
486.66046142578125,561.3873291015625
468.755859375,445.4648132324219
451.0682373046875,452.66278076171875
444.0883483886719,482.26947021484375
431.4082946777344,431.9178771972656
419.946044921875,498.8750305175781
398.06134033203125,409.4051513671875
398.3145751953125,399.3683166503906
391.49285888671875,399.8641662597656
363.1868896484375,367.1266784667969
346.91552734375,353.87322998046875
366.08355712890625,380.966064453125
342.8896484375,584.99072265625
325.8830871582031,398.6829833984375
320.42388916015625,459.21173095703125
305.76220703125,435.7745666503906
329.3548583984375,574.4122924804688
304.8431091308594,321.2924499511719
305.0321044921875,446.34783935546875
6900.46435546875,3721.709716796875
1258.762939453125,1198.2244873046875
988.60400390625,958.03857421875
836.0673217773438,777.0381469726562
655.1224365234375,576.4141845703125
493.1440124511719,479.8450927734375
435.3084716796875,496.23687744140625
404.5987243652344,400.0328674316406
373.1448974609375,456.8484802246094
363.2221374511719,368.4065856933594
345.6346130371094,353.793701171875
316.0887451171875,319.19989013671875
316.162353515625,319.91632080078125
292.2649841308594,311.2469482421875
292.7637634277344,310.9318542480469
299.6252746582031,387.6763610839844
288.205810546875,291.6848449707031
271.7731018066406,307.79705810546875
272.2256164550781,291.5452575683594
286.882568359375,285.5288391113281
264.2974853515625,292.7594299316406
267.1825256347656,264.31939697265625
269.96075439453125,310.329345703125
262.1652526855469,259.1745910644531
267.6525573730469,316.486328125
252.58517456054688,255.6593780517578
255.92465209960938,280.1297607421875
268.7479248046875,470.88726806640625
287.2151794433594,296.15008544921875
264.7679748535156,269.7182312011719
251.20086669921875,306.90594482421875
263.44366455078125,339.37347412109375
534.6038818359375,441.8520202636719
346.7949523925781,316.14605712890625
283.83453369140625,297.3842468261719
268.4607238769531,280.837646484375
258.59375,270.02252197265625
255.58810424804688,269.61358642578125
254.6905059814453,270.5778503417969
248.8271484375,275.0587158203125
261.3959655761719,276.4077453613281
266.1147155761719,296.4713439941406
248.06527709960938,256.7115478515625
567.36767578125,493.7890625
353.0833740234375,350.85888671875
278.093017578125,298.52972412109375
324.3817138671875,296.58795166015625
263.95379638671875,288.010009765625
256.3796081542969,261.80377197265625
243.27615356445312,265.7183837890625
250.85813903808594,268.7140197753906
248.9080352783203,267.4782409667969
239.57212829589844,414.1959228515625
250.01785278320312,252.2263641357422
242.58816528320312,292.4071960449219
244.87197875976562,252.0877227783203
244.6018524169922,250.90985107421875
767.8536987304688,333.9867248535156
295.2181396484375,310.77471923828125
262.99072265625,314.52728271484375
378.8860168457031,307.5551452636719
261.16217041015625,355.3990783691406
258.52081298828125,381.08966064453125
273.4704284667969,339.2948913574219
503.53582763671875,302.0425720214844
259.02593994140625,266.93560791015625
247.94387817382812,264.4854736328125
251.250244140625,264.4106140136719
242.8226318359375,260.96875
